dicionario para votos: id_urna, id_votacao, depEstadual, depFederal, senador, governador, presidente
adicionar_voto: 2, 72658, 22200, 2210, 454, 13, 22
adicionar_voto: 2, 91023, 22200, 2210, 453, 22, 2
adicionar_voto: 2, 38974, 45200, 4510, 172, 13, 40
adicionar_voto: 2, 57349, 40200, 4010, 454, 13, 13
adicionar_voto: 2, 31856, 13200, 1310, 171, 22, 13
adicionar_voto: 2, 73459, 45200, 4510, 453, 17, 45
adicionar_voto: 2, 19743, 45200, 4510, 172, 13, 22
adicionar_voto: 2, 84329, 22200, 2210, 171, 22, 13
adicionar_voto: 2, 62897, 45200, 4510, 171, 13, 40
adicionar_voto: 2, 68412, 40200, 4010, 454, 40, 13
